,Text
17,"Downing Street announced that Britain has proposed sending a group of 120 Gurkhas to support the tsunami relief operations in Indonesia. The deployment would include troops from the 2nd Battalion Royal Gurkha Rifles stationed in Brunei. Talks are underway with Indonesia to finalize the timing and location of the deployment, with the focus on assisting the Aceh province. Additionally, Downing Street mentioned the possibility of extending a similar offer to the Sri Lankan government."
18,"A spokesperson highlighted that Indonesia faced specific logistical challenges that the Gurkhas could potentially assist with. The spokesperson announced that after the morning coordination meeting for post-tsunami relief efforts, the government officially extended an offer to the Indonesian government for the support of a company of British Army Gurkhas from 2nd Battalion Royal Gurkha Rifles, comprising around 120 personnel and two helicopters. This offer was in addition to the ships and aircraft already committed to the relief operation in the Indian Ocean. Indonesia was significantly impacted by the tsunami, with 94,000 out of the 140,000"
19,"The prime minister, along with Education Secretary Ruth Kelly, took to the waters in a sailing dinghy in Bromsgrove, Worcestershire, to promote his party's education policies. Tony Blair emphasized Labour's commitment to education during a visit with parents in the area. The Conservatives and Lib Dems dismissed his promises as ""worthless,"" as all parties gear up for the upcoming General Election expected to take place on 5 May. Mr Blair, looking slightly windswept, joined two students and an instructor from St Egwin's Middle School in Evesham for a sail on the lake, closely"
20,"He later mentioned that outdoor activities were beneficial for children, but acknowledged that many teachers were now hesitant to participate due to concerns about potential lawsuits. Mr. Blair stated that by implementing simple guidelines, teachers could reduce the risk of legal action. He emphasized the importance of using common sense during such activities to prevent unnecessary worries about legal repercussions for parents and teachers. Mr. Blair recently introduced six election pledges, including the promise of improved education with the slogan ""your child achieving more."" If Labour secures a third term in the upcoming general election, they plan to offer parents more school choices, grant specialist status to"
21,"Parents and teachers who had written to their MPs expressing concerns about education were invited to an informal discussion with Mr. Blair on Tuesday. This event is part of a series aimed at demonstrating that the prime minister is engaging directly with voters leading up to the election, and that he remains connected to their concerns. Shadow education secretary Tim Collins of the Conservatives criticized Mr. Blair's government, stating that it is all talk and should be evaluated based on its actions in two terms, not on promises for a third term. The Liberal Democrats have pledged to reduce class sizes for young children and ensure that all subjects are taught"
22,"Archbishop Desmond Tutu has urged for the release of the remaining prisoners at Guantanamo Bay and individuals suspected of terrorism who are being held without trial in the UK. His remarks come after the announcement that all four British detainees at the Cuban facility will be set free in the coming weeks. The South African archbishop expressed his disapproval of detaining individuals without trial, describing it as both ""unacceptable"" and ""distressing."" In the UK, twelve foreign nationals are currently being held indefinitely under anti-terror legislation. Archbishop Tutu criticized the detentions in Cuba, stating to BBC News that such actions"
23,"Moazzam Begg, a resident of Birmingham, along with Martin Mubanga, Richard Belmar, and Feroz Abbasi, who are from London, have been in US custody at Guantanamo Bay for nearly three years. Foreign Secretary Jack Straw informed the Parliament on Tuesday that the US had agreed to release the four individuals following extensive and intricate security discussions. The British citizens were detained in connection with the US-led ""war on terror."" The Archbishop expressed concern about those who remain detained, questioning the acceptability of detaining individuals without trial, similar to past practices in South Africa. Lawyer Louise"
24,"Archbishop Tutu expressed his disapproval of the measures, stating: ""I am against any arbitrary detention, even in Britain."" Shami Chakrabarti, the director of civil rights group Liberty, urged the government to follow through on its principles and either release or charge the detained individuals. However, the Home Office stood by the measures, with a spokesperson explaining: ""These individuals are currently unable to be prosecuted due to the inability to safely disclose certain evidence provided by third parties in criminal proceedings, which could jeopardize others. Additionally, intelligence obtained from covert intercepts cannot be utilized in a legal"
25,"Tory leader Michael Howard has announced that the Conservative Party plans to reduce the number of MPs by approximately 20% if they win the election. This proposal is a key component of the party's upcoming ""smaller government bill,"" which will be revealed later this week. In an interview with the Sunday Times, Mr. Howard also mentioned that the party intends to decrease the number of government special advisers. Additionally, he stated that a referendum would take place in Wales to determine the fate of the Welsh Assembly."
26,"Mr. Howard informed the paper that if the Conservatives won a general election, the changes would occur within five years. The exact number of MPs to be removed would hinge on the outcome of the Welsh referendum, but it would likely result in a decrease of approximately 120 from the current total of 659. Should Wales opt to retain its assembly, it would face a greater loss of MPs. Mr. Howard suggested that both parties should also reduce their own numbers, given their plans to cut civil servants at Whitehall - Labour by over 80,000 and the Tories by nearly 100,000."
27,"Mr Howard emphasized that the plan aimed to address the imbalance in parliamentary representation, particularly the overrepresentation of Scottish and Welsh MPs compared to those from England. He highlighted the differences in constituency sizes, with English constituencies averaging 70,000 people, while Northern Ireland had just over 66,000, Wales just over 59,000, and Scotland 53,000. Mr Howard proposed that the number of Welsh MPs should be adjusted to ensure equitable representation across the United Kingdom if the assembly was eliminated. He stressed the need for swift implementation of these changes, suggesting they could be in place by the"
28,"Ministers are considering the possibility of electronically tagging parents who refuse to allow their former partners to have contact with their children. Lord Falconer, the constitutional affairs secretary, mentioned that curfews and community service orders could also be used if court orders for parental access were ignored. He clarified that fathers' activists did not influence the proposed changes, but rather there is a general acknowledgment that something needs to be addressed. Lord Falconer highlighted that around 15,000 to 20,000 couples resort to court for access disputes annually, even though in the majority of separations, court intervention is not necessary"
29,"Parenting plans will provide guidance on visitation schedules, drawing from successful real-life scenarios. In addition, there will be an expansion of in-court mediation, with an emphasis on holding more casual hearings prior to contested court proceedings."
30,"Improved availability of legal, emotional, and practical guidance via phone and online platforms - Modifications to legal aid to encourage prompt resolution of conflicts."
31,"According to a spokesperson, judges have the authority to imprison parents who violate contact orders, but this is considered a last resort and is rarely used due to concerns about the child's well-being. The new legislation aims to introduce a range of penalties, such as fines, community service, anger management or parenting classes, and curfews. Offenders who fail to comply with these measures may be subject to electronic tagging. Lord Falconer suggested that tagging might be excessive, but he encouraged a discussion on the topic. The specifics of the new powers will be disclosed when a bill is published within the next two"
32,"Fathers' rights groups have expressed disapproval of the government's proposals. John Ison of Fathers 4 Justice described the situation as disappointing, citing it as a mere recycling of existing legislation. Jim Parton from Families Need Fathers noted that the new proposals lacked compulsion and suggested that couples should create a plan that could be enforced by a court order to ensure clarity and stability. He mentioned that Children's Minister Margaret Hodge had informed him that there was insufficient time to pass the bill before the upcoming general election in May."
33,"The Conservatives are pushing for a law that mandates an equal split between parents on access. Theresa May, who serves as the shadow secretary for the family, criticized the government's current plans as insufficient and merely covering up the flaws in the system. She emphasized that a Conservative government would introduce significant changes to the family courts, including implementing a legal presumption of co-parenting and mandatory mediation. May stated that the goal is to ensure that courts are the last resort, not the first, and highlighted the importance of avoiding treating children as property in the event of a marriage breakdown. In contrast, the Liberal Democrats advocate"
34,"New regulations regarding marriage for foreign nationals residing in the UK will soon be implemented. Starting from Tuesday, most non-EU citizens will be required to obtain approval from the Home Office before getting married. The Home Office states that the objective of the new rules is to decrease the occurrence of sham marriages, which are estimated to reach up to 15,000 annually. However, the JCWI, a group representing immigrants, argues that the regulations violate human rights laws and is considering a legal challenge. When the changes were announced last year, immigration minister Des Browne emphasized the goal of minimizing disruptions to genuine marriages"
35,"Starting from Tuesday, all non-EU nationals, with the exception of citizens from Switzerland, Liechtenstein, Iceland, or Norway, who plan to marry in the UK must either secure a marriage visa before entering the country or apply for a Home Office 'certificate of marriage approval'. To obtain this certificate, which costs £135, applicants must provide evidence of their legal right to be in the UK. Individuals without settled status, such as asylum seekers awaiting a decision on their application, will not be permitted to marry in the UK. Once they have the required documentation, those under immigration controls who wish to"
36,"In some instances, the Home Secretary may act as a last resort marriage registrar under these rules. Ms. Beynon mentioned that they are seeking legal advice on this matter and will assist individuals whose right to marry has been violated by potentially taking the case to the Human Rights Court. The new regulations have raised concerns with the parliamentary Joint Committee on Human Rights, which suggested that the restrictions introduced could be disproportionate and incompatible with the right to marry. The committee also highlighted potential conflicts with the Human Rights Act regarding religion, belief, and nationality. In the past year, there has been an increase in immigration service operations"
37,"Pro-hunt Members of Parliament are criticizing the poorly written new law that prohibits hunting with dogs, as they claim it is so vague that no one can clearly determine what constitutes an offense. This criticism arose when a man from Devon was advised that he could use his four dogs to ""drive away unwanted animals"" from his farm without it being considered hunting, as he had no intention of killing deer or foxes. Liberal Democrat MP Lembit Opik raised concerns about the government creating a new form of hunting called ""chasing away"" and questioned how law enforcement officials were expected to interpret and enforce these unclear"
38,"North Devon landowner Giles Bradshaw reached out to the Middle Way Group, co-chaired by Mr. Opik, after contacting Defra, the rural affairs ministry. He had inquired about the legality of using his four dogs to scare off deer and foxes under the Hunting Act. Initially informed that his technique was prohibited, Mr. Bradshaw raised a complaint. The Middle Way Group also expressed concern that Mr. Bradshaw might be forced to resort to using a rifle to deal with animals he previously deterred with his dogs. However, a subsequent conversation revealed that according to Defra's"
39,"The government is eager to leave behind this failed law, but it is unlikely that the countryside will be willing to cooperate. Mike Hobday from the League Against Cruel Sports stated that there is no confusion, just a matter of common sense. He emphasized that if Mr. Bradshaw's dogs are used to chase wild animals, it constitutes hunting and is a criminal offense. However, if the dogs are simply barking at the deer, it cannot be considered hunting."
40,"The top judge in the UK has disclosed that he has had disagreements with government officials regarding the selection process for heads of public inquiries. Lord Woolf emphasized his commitment to maintaining his authority to veto the appointment of a judge to lead an inquiry as a means of safeguarding judicial independence. However, he informed Members of Parliament that the Lord Chancellor, Lord Falconer, was adamant that he should have the ultimate decision-making power in these situations. The inquiry conducted by Lord Hutton into the death of Dr. David Kelly triggered discussions about the appropriate individuals to oversee inquiries."
41,"According to the government, it is unlikely that the lord chancellor would oppose the wishes of Lord Woolf, who serves as the Lord Chief Justice of England and Wales. Lord Woolf recently provided testimony to the Commons public administration select committee's investigation into public inquiries. He mentioned that he was not involved in selecting Lord Hutton, a law lord not under his authority. However, he believes he should have the power to veto the appointment of judges to lead specific inquiries and determine which judge should be chosen. In a written statement to the committee, Lord Woolf expressed his ongoing disagreement with the lord chancellor on"
42,"Lord Woolf expressed that although the current rules were not formally documented, it was highly unlikely that the lord chancellor would disregard his concerns in reality. However, he noted that this dynamic could shift with upcoming legal reforms. The matter arose when a new agreement was being drafted regarding responsibilities, leading to a dispute in subsequent discussions. Lord Woolf emphasized the importance of ensuring that if he did not agree with the lord chancellor on appointing a judge, the appointment should not proceed. While he believed there would be no significant obstacles, he aimed to establish this fundamental principle. A spokesperson from the Department for Constitutional Affairs"
43,"This week, the Vote For Me talent contest, inspired by ITV1's Pop Idol, will be airing on our screens. Over the next four days, numerous aspiring politicians will be evaluated by a panel of experts and the public vote. The victorious candidate will be urged to run as an independent in the upcoming general election, anticipated in the spring. However, there is disagreement on whether the current crop of candidates possess the necessary qualities to succeed in politics. Former independent MP Martin Bell asserted on BBC Radio 4's Today program that all of them could serve as competent MPs."
44,"Mr Bell, who will be providing guidance to the contestants on Wednesday, believes that Westminster has its fair share of unconventional individuals and that the show will attract regular voters. ""If it encourages more people to vote and take an interest in politics, then there's no harm in that,"" he stated. However, Sir Bernard Ingham, former press secretary to Margaret Thatcher, had a less favorable opinion, accusing the program of ""corrupting politics."" He doubted that the producers would succeed in re-engaging voters ""with that group of eccentric individuals."" To be fair to Sir Bernard, the opening episode"
45,"The participants had 60 seconds to present their manifestos, followed by a test of the final 25's lobbying skills. They were then questioned by the panel, led by ex-ITN political editor John Sergeant, with TV host Lorraine Kelly in the Nicki Chapman role. However, the standout personality was Kelvin MacKenzie, who occupied the Simon Cowell, Mr Nasty position. The former Sun editor delivered a series of clever insults and witty remarks. For instance, he advised one contestant to ""get a haircut and a brain transplant."" Wheelchair user Kevin Donnellon was questioned"
46,"Mr Lim amused the panel by proposing a plan to have people do community service instead of paying taxes. During a discussion about the country's finances, Mr MacKenzie highlighted the potential chaos if taxes were not collected due to everyone painting houses but not paying taxes. Mr Lim, feeling disheartened, struggled to contribute to the conversation. Despite some controversial remarks from Mr MacKenzie, Irfan Hanif impressed the panel. Dominic Carman, advocating for cutting defense spending to invest in education, advanced to the final 25. Rodney Hylton-Potts, a convicted fraudster with strong"
47,"Tony Blair does not consider abortion to be a topic for election debate, stating that it is a personal matter of conscience. The prime minister's spokesperson explained Mr. Blair's position after the highest-ranking Catholic in England and Wales supported Michael Howard's position on abortion. The Conservative leader advocates for lowering the legal limit from 24 weeks to 20, criticizing the current regulations as being too lenient. Mr. Blair has affirmed that there are no intentions to amend the existing law."
48,"According to Mr Blair's spokesperson, the Catholic church has a well-known stance on the issue, which was just one of many topics mentioned by the Cardinal and should be considered in that context. Cardinal Cormac Murphy O'Connor, the Archbishop of Westminster, supported Mr Howard's position and distanced himself from the Labour party. He emphasized that abortion is a significant issue and endorsed the policy backed by Mr Howard as a step towards completely abandoning abortion. Cardinal O'Connor criticized Labour for assuming it was the natural choice for Catholics, stating that they do not endorse any specific party. The Family Planning Association warned that a"
49,"During an interview with Cosmopolitan, Mr. Howard expressed his belief that abortion should be accessible to all individuals, but he suggested that the law should be amended. He mentioned that in the past, he supported a restriction up to 22 weeks and would be willing to lower it to 20 weeks. All major political parties agree that the abortion issue should be left to the conscience of each Member of Parliament rather than being dictated by party-wide policies. Mr. Howard emphasized that his opinions were personal. Shadow home secretary David Davis indicated that Mr. Howard's comments hinted at the possibility of a Conservative government"
50,"The Conservatives have revealed plans to eliminate 162 quangos as part of their initiative to demonstrate how government bureaucracy can be reduced. Additionally, six government units are set to be abolished under the proposals, which the Tories claim will result in savings exceeding £4.3bn. The targets include strategic health authorities and the recently established fair access regulator for universities. According to Tory frontbencher John Redwood, a leaner government and reduced taxes are essential for Britain to remain competitive."
51,"The proposals aim to eliminate regional assemblies and other regional bodies, such as boards dealing with industrial development and housing. Their authority would be transferred back to elected local councils or the national government. The Conservative Party believes that strategic health authorities are unnecessary, advocating for local residents to oversee hospitals and surgeries instead of officials. John Redwood, in announcing the plans, criticized Tony Blair for neglecting taxpayers' interests and failing to fulfill his promises. He argued that investing in quangos has only resulted in more bureaucrats, increased regulation, and higher taxes, rather than enhancing public services. Party leader Michael Howard emphasized the"
52,"The government has revealed intentions to reduce the number of civil servants by 100,000 as a way to improve efficiency. However, Chief Secretary to the Treasury Paul Boateng criticized the Conservative Party's proposal. Boateng stated, ""The Tories aim to slash Labour's public spending plans by a significant £35 billion. Such substantial cuts cannot be achieved solely by reducing bureaucracy, but would necessitate major reductions in essential public services like schools, hospitals, and law enforcement."" In contrast, the Liberal Democrats have proposed streamlining Whitehall departments to ensure that funds are directed towards frontline services."
53,"The Labour Party has officially announced that its 2006 autumn conference will take place in Manchester instead of Blackpool. This decision, which had been widely anticipated, was approved by Labour's National Executive Committee, marking a departure from the usual selection of a seaside location. This will be the first time since 1917 that Manchester has been chosen as the host city for the party's annual event. As a gesture of goodwill, Blackpool will host the smaller February spring conference."
54,"For years, the main political parties have taken turns holding their annual conferences in Blackpool, Bournemouth, and Brighton. The decision to not have the larger conference in Blackpool this year will be disappointing for the coastal resort. Despite previously stating they would not return to Blackpool, the party did so in 2002 after hosting the event in Bournemouth the year before. Following a two-year deal, Brighton was chosen to host the autumn conference. Colin Asplin from the Blackpool Hotel Association expressed disappointment, saying they had made efforts to bring the conference back to Blackpool but were unsuccessful."
55,"One of Labour's senior Asian members, Shahid Malik, rejected a proposal for ethnic minority shortlists to increase the number of black and Asian MPs. Malik, who sits on Labour's ruling NEC, acknowledged people's frustration but suggested using targets instead of lists to enhance minority representation. Currently, only 13 out of Britain's 659 MPs are from ethnic minority backgrounds. Trevor Phillips, the chief of the Commission for Racial Equality, advocated for such shortlists, emphasizing the need for change. This discussion arose after it was revealed that West Ham, one of Britain's most diverse constituencies, would"
56,"Mr Phillips suggested that changes to race relations legislation could potentially allow political parties to reserve seats for under-represented groups, such as women and minorities in areas like West Ham. He emphasized the need for increased minority representation in politics, stating that if minorities are not adequately represented after years of discussion, a new approach must be taken. Mr Malik, a candidate for Dewsbury, acknowledged the shortcomings of women-only shortlists in promoting ethnic minority candidates but proposed setting targets to make democratic structures more inclusive. Labour MP Diane Abbot supported the idea of shortlists to address the slow progress in electing black"
57,"The Green Party is worried that numerous residents in Edinburgh might not have the opportunity to participate in the transport referendum due to concerns raised by Green MSP Mark Ballard. The Edinburgh City Council plans to conduct a ballot among constituents regarding the implementation of congestion charging in the city. However, there is a fear that individuals who are not included in the council's edited electoral register may be excluded from voting. As per regulations, local authorities are only allowed to send ballot papers to individuals listed on the edited register for non-statutory matters like the transport referendum. Consequently, residents who have chosen to have their information excluded from the"
58,"Nevertheless, individuals not included in the list still have the opportunity to reach out to the council to ensure they receive ballot forms before the voting deadline in February. According to Mr. Ballard, the upcoming vote will shape the future of transportation in Edinburgh for years to come. It is crucial that as many residents in Edinburgh City and the neighboring areas as possible are registered to participate in the ballot. Many individuals may not realize that they could miss the chance to voice their opinion. All stakeholders in the discussion, regardless of their stance, aim for a fair and inclusive ballot, emphasizing the importance of encouraging participation. The"
59,"The Liberal Democrats are making efforts to attract female voters by introducing their manifesto for women. Charles Kennedy is promising a maternity income guarantee and a pension system that considers years of residence instead of national insurance payments. He believes that women will support proposals to abolish university tuition fees and provide free long-term care for the elderly. Both Labour and the Conservatives have also expressed intentions to enhance pensions and childcare support. Mr. Kennedy aims to address policy areas that put women at a disadvantage. ""Currently, two million pensioners in Britain are living below the government's poverty line, with two-thirds of them being women,"" he"
60,"He argues that traditional pensions, which are based on years worked, fail to recognize the valuable contribution women make in caring for children. Mr. Kennedy suggests that the Lib Dem's Citizen's Pension, which is determined by length of residency rather than national insurance contributions, could help rectify this issue. As part of this proposal, new mothers would receive a minimum guaranteed maternity pay of £170 per week for the first six months after the birth of their first child. Additionally, Mr. Kennedy believes that reallocating funds saved from not implementing ""illiberal"" ID cards to increase police numbers by 10"
61,"Party strategists believe that attracting a significant number of female voters is crucial for achieving success in elections. A party spokesperson stated that they are actively seeking the support of women voters because they are more likely to vote than men and are perceived to be more thoughtful and open-minded when choosing who to vote for. Labour's deputy minister for women, Jacqui Smith, criticized the Liberal Democrats for making ""empty promises"" to women and claimed that their proposals would result in a substantial increase in public spending, which would ultimately burden hard-working families through higher taxes or reduced funding for public services. The Labour party has pledged"
62,"Tory leader Michael Howard has taken a proactive stance in response to criticism about how a child of immigrants can advocate for asylum quotas. Mr. Howard, whose parents sought refuge in the UK from the Nazi threat, argues that such a claim would prevent anyone from an immigrant background from becoming prime minister. These remarks were made during a BBC documentary titled 'No More Mr Nasty'. TV host Anne Robinson commented that during his time as home secretary, Mr. Howard seemed to have a harsh demeanor. Robinson, who is a friend of the Tory leader, also shared that during his time at Cambridge, Mr."
63,"Documentary filmmaker Michael Cockerell was granted exclusive access to Mr. Howard for his film portrait. During the interview, the Tory leader was questioned about how he would respond to those suggesting that if there had been a quota on immigration and asylum in the 1930s, his parents may not have been permitted to enter the country. In reply, he questioned the implication of such a statement, stating, ""Are you suggesting that individuals with immigrant backgrounds are not entitled to express their views on immigration control for the benefit of the nation? This notion appears quite extraordinary to me. If this were the case"
64,"Ms Robinson, the host of The Weakest Link, expressed her dismay to Cockerell about his tough image during his time as home secretary in John Major's government. She mentioned how he would come across as someone who would mistreat animals or put babies in prison when he appeared on television. She described his approach as very harsh. In the documentary, Mr Howard is seen enjoying Rory Bremner's impression of him as Dracula, finding it amusing despite the false suggestion that he wants fewer black people in the UK. The film also shows the more private side of the Tory leader, engaging in"
65,"Michael Howard's documentary, ""No More Mr Nasty,"" will air on BBC2 on Saturday, February 12th at 2005 GMT."
66,"The lord chancellor denied that the concessions made on the bill, which critics argue could lead to euthanasia being permitted indirectly, were a political maneuver. Amid chaotic scenes in the Commons on Tuesday, ministers have been accused of acting hastily in making last-minute adjustments to the Mental Capacity Bill. Lord Falconer acknowledged that criticism regarding the timing of the changes was valid. He stated that the modifications offered a resolution to a challenging issue, although some Members of Parliament contend that the situation remains ambiguous."
67,"The bill enables individuals to grant someone power of attorney to make decisions on their behalf in case they are unable to do so due to illness. Government officials affirm that the proposed measures will not impact euthanasia laws and will enhance protections. Critics are concerned that the bill could potentially lead to ""killing by omission"" by withholding treatment, such as food and fluids. Tony Blair has pledged to address any worries regarding the bill, emphasizing the importance of maintaining the legal precedent established in the case of Tony Bland, where doctors were permitted to withdraw artificial feeding and hydration. Blair stressed the need to prevent confusion"
68,"On Tuesday, the government successfully defeated a backbench attempt to amend the bill with a vote of 297 to 203, despite 34 Labour MPs rebelling. The rebellion was somewhat quelled by the news that Lord Falconer had assured the Catholic archbishop of Cardiff of strengthening safeguards in the bill. However, this assurance only came after MPs pressured Constitutional Affairs Minister David Lammy to read the letter, as they felt uninformed. Lammy was handed the letter to read just five minutes before the crucial votes, leading to accusations of disorganization. The deputy speaker later admitted that the debate had not"
69,"The attorney general refuted claims that his statement to Parliament regarding the legality of the Iraq war was prepared by Downing Street officials. Lord Goldsmith clarified that Lord Falconer and Baroness Morgan were not involved in crafting the response. He emphasized that the statement reflected his own belief in the war's legality, but did not summarize his advice to the Prime Minister. The government has declined requests to release the complete advice, citing the standard practice of maintaining confidentiality for such documents."
70,"Lord Goldsmith stated that he was actively involved in the drafting process of the answer and personally finalized and approved it. The answer was prepared in his office with the participation of Solicitor General Harriet Harman, two of his officials, three Foreign Office officials, a QC, Christopher Greenwood, and the then Lord Chancellor, Lord Irvine of Lairg. He clarified that no other minister or official was involved in any way. Lord Goldsmith dismissed the claim that Lord Falconer and Lady Morgan had drafted the answer, attributing it to a mis-transcription of his evidence to the Butler Inquiry. He reiterated"
