,Text
43,"This week, ITV1's Pop Idol style talent contest for aspiring politicians, called Vote For Me, will finally be shown on our screens."
44,"Mr Bell, who is set to provide guidance to the contestants on Wednesday, contends that Westminster has its fair share of ""odd balls"" and the show will involve ordinary voters."
45,The participants had 60 seconds to present their manifestos before the final 25 were evaluated on their lobbying skills.
46,Mr Lim later had the panel in fits of giggles when he described his plan to have people do community service instead of paying taxes.
47,"Tony Blair's opinion is that abortion should not be a topic for elections, as he believes it is a personal matter of conscience."
48,Mr Blair's spokesperson stated that the Catholic church's stance on this issue is well-known and should be considered in the context of the Cardinal's overall message.
49,"During the Cosmopolitan interview, Mr Howard expressed his belief that abortion should be accessible to all, but he advocated for a change in the law."
50,The Conservatives have revealed their plans to eliminate 162 quangos in an attempt to demonstrate how government bureaucracy can be reduced.
51,"The plans aim to eliminate regional assemblies and other regional bodies, transferring their powers back to elected local councils or the national government."
52,"As part of its efficiency initiative, the government has revealed intentions to reduce the number of civil servants by 100,000."
53,It has been confirmed that the Labour Party will host its 2006 autumn conference in Manchester instead of Blackpool.
54,"The main political parties have been rotating between Blackpool, Bournemouth, and Brighton for years."
55,"One of Labour's most senior Asians, Shahid Malik, rejected a call for ethnic minority shortlists to increase the number of black and Asian MPs."
56,"Mr Phillips suggested that modifications to the race relations legislation could potentially enable political parties to reserve seats for under-represented groups, such as women and minorities in areas like West Ham."
57,The Green Party is worried that numerous residents in Edinburgh might not have the opportunity to vote in the transport referendum due to concerns about the edited electoral register.
58,"For those who are not on the list, there is still an opportunity to contact the council and ensure they receive ballot forms before the voting deadline in February."
59,The Liberal Democrats are trying to attract female voters by introducing their manifesto for women.
60,"He argues that pensions should not be based solely on the number of years worked, as this ignores the contribution women make caring for children."
61,Party strategists consider winning the support of a significant number of female voters crucial for achieving electoral success.
62,"Michael Howard, the leader of the Tory party, has taken a proactive approach in response to criticism about how a son of immigrants can advocate for asylum quotas."
63,"Michael Cockerell, a documentary maker, was granted exclusive access to Mr. Howard for his film portrait."
64,"Ms Robinson, who hosts The Weakest Link, expressed her dismay to Cockerell about his tough image during his time as home secretary in John Major's government."
65,"Michael Howard's documentary, ""No More Mr Nasty,"" will air on BBC2 on Saturday, February 12th at 2005 GMT."
66,"The lord chancellor stated that the concessions made on a bill criticized for potentially permitting euthanasia ""through the back door"" were not a political maneuver."
67,The legislation enables individuals to grant someone else the authority to make decisions on their behalf in case they are unable to do so due to illness.
68,"The government successfully defeated a backbench attempt to amend the bill on Tuesday by 297 votes to 203, despite opposition from 34 Labour MPs."
69,The attorney general refuted the claim that his statement to Parliament on the legality of the Iraq war was prepared by Downing Street officials.
70,Lord Goldsmith stated that he was actively involved in the drafting process and personally finalized and approved the answer.
71,"At his monthly news conference in Downing Street, Tony Blair stated that the attorney general's advice had been a ""fair summary"" of his opinion, echoing Lord Goldsmith's own words."
72,"The claims regarding Lord Falconer and Baroness Morgan's involvement were detailed in a book released this week by Philippe Sands QC, a member of Cherie Blair's Matrix Chambers."
73,"MPs have stated that due to government failures, thousands of public bodies are not ready for the Freedom of Information Act, which will be enforced next month."
74,"The Act will take effect in England, Wales, and Northern Ireland on 1 January, with similar measures being introduced in Scotland at the same time."
75,"New Yorker Dick Morris is undeniably a winner, according to any standard."
76,"Why did Morris choose Britain and UKIP, a party that, despite its recent success in the EU elections, is unlikely to achieve a remarkable victory in the upcoming general election?"
77,"He is on a mission to assist UKIP in leading Britain out of this organization, which he views as unchangeable and fundamentally undemocratic."
78,"Not only was it to shift the Tories, but I believe UKIP played a significant role in Tony Blair's decision to hold a referendum on the European constitution and his refusal to join the euro."
79,He proposes that this could result in a hung parliament where UKIP and other parties have significant influence.
80,Tony Blair has promised not to criticize Tory leader Michael Howard for his Jewish beliefs.
81,"One poster showed Mr Howard and his shadow chancellor Oliver Letwin, who is also Jewish, depicted as flying pigs."
82,"Mr Blair defended his party's stance towards the Jewish community, highlighting that his government had established the Holocaust Memorial Day."
83,"William Hague, the former Conservative leader, has stated that he will not run for leadership again, as he has abandoned his aspiration to become prime minister."
84,"He informed the newspaper that he is unsure if he will return to the front, but asked not to be rushed."
85,"Anglers and fishermen may face prosecution due to efforts to combat animal cruelty, cautioned a committee of MPs."
86,"A ""cast-iron guarantee"" was requested to ensure that the government consults on any plans to regulate animal industries like pet fairs and game bird rearing."
87,The committee emphasized the need for an amendment to prevent cases from being brought.
88,"The committee of MPs and peers has issued a warning that the number of deaths in custody has reached ""shocking"" levels."
89,The report stated that a significant number of individuals who later committed suicide had already sought help from authorities for their issues before engaging in any criminal behavior.
90,"""Throughout our investigation, we have consistently observed that individuals with significant vulnerabilities, such as mental health issues, substance abuse problems, and suicidal tendencies, are being placed in custody."""
91,"Nicholas Betts-Green, a potential candidate for the UK Independence Party (UKIP), has stepped down after acknowledging a ""brief association"" with the British National Party (BNP)."
92,"Tessa Jowell, the Secretary of State for Culture, Media and Sport, criticized the Gambling Bill's critics in an interview with the Guardian newspaper, clarifying that there would be no ""Las Vegas-style"" super-casinos as rumored in the press."
93,"During her interview with the newspaper, Ms Jowell expressed her dissatisfaction with the ""scale of misrepresentation"" in the media regarding the bill, which was her first interview since its launch."
94,Michael Howard has rejected concerns from certain Conservatives that his proposals for ÃÂ£4bn tax cuts are too modest.
95,"Edward Leigh, a Tory backbencher, expressed that the proposals were a positive step forward, but he emphasized to the Financial Times his preference for greater tax cuts to be implemented sooner."
96,"The most recent Conservative proposals were announced as the election campaign, expected to take place in May, gained momentum."
97,The Standards Board is currently conducting an inquiry into accusations that Ken Livingstone has tarnished his position.
98,"Bob Neill, leader of the London Assembly Conservatives, expressed his disappointment with the Mayor's conduct, stating that it was unbecoming of his office and showed extremely poor civic leadership."
99,Tony Blair has refuted reports suggesting he informed Gordon Brown that he would resign before the upcoming general election.
100,The issues concerning the country are what both of us are actually focusing on.
101,Mr Peston informed BBC News that the relationship between the two individuals is not as close or friendly as it used to be.
102,"Michael Howard, the Tory leader, accused the prime minister and Mr Brown of engaging in ""childish arguments""."
103,"According to a new book about the chancellor, Tony Blair assured Gordon Brown that he would step down before the next election."
104,"According to the author's sources, described as ""allies"" of Mr Blair and Mr Brown, the prime minister believed that the Iraq war had weakened his position and made him a liability to the Labour Party."
105,Mr Peston informed BBC News that he believes their relationship is not as close or friendly as it used to be.
106,The Labour MP for Birkenhead questioned the example set for the nation when the two most important political leaders engage in constant conflict or delegate their aides to do so.
107,Jack Straw stated that Britain's £3bn EU rebate will not be renegotiated at the upcoming European Council summit.
108,The foreign secretary informed the Commons foreign affairs committee that the UK's position is clear and non-negotiable.
109,"Lord Callaghan, the former Labour prime minister, died at his home in East Sussex just before his 93rd birthday."
110,Chancellor Gordon Brown expressed that the former PM would be mourned globally.
111,"Without him, the Labour party and the country will be poorer, said Conservative peer Lord Heseltine."
112,"Under pressure from the declining value of sterling, he resisted devaluation for three years before being compelled to do so in 1967."
113,His political career was frequently marked by conflicts with the radical left wing of the party.
114,The Law Lords have ruled that the immigration rules of the government discriminated against Roma (Gypsies) seeking entry into the UK.
115,"The airport screening in July 2001, during a period of concern over the influx of asylum seekers into Britain, resulted in those denied ""pre-clearance"" being effectively barred from traveling to the UK due to airlines refusing to carry them."
116,"According to Liberty, statistics indicated that Roma Czechs were 400 times more likely to be stopped by British immigration officials at Prague airport than non-Roma Czechs."
117,"In response to the ruling, a spokesperson from the Home Office stated that the scheme was implemented two years ago as a temporary measure due to the high number of passengers traveling from Prague who were later found ineligible for entry into the UK."
118,"According to MPs, visa processing staff are sometimes required to make a decision on an application every 11 minutes."
119,The committee's report also addressed the scandal involving Romanian and Bulgarian visas that resulted in the resignation of immigration minister Beverley Hughes last year.
120,"Sir Anthony Meyer, the Tory backbencher who ran against Margaret Thatcher for the party leadership in 1989, has passed away."
121,"A Conservative election challenger is stepping down after expressing a desire for a ""period of creative destruction in the public services""."
122,The party stated that the comment was taken out of context.
123,Chancellor Gordon Brown of the UK has pledged £960m ($1.8bn) over 15 years to an international program focused on enhancing vaccination and immunization efforts.
124,The chancellor spoke at an event co-organized by the UK's Department for International Development and the UN Development Programme on Wednesday.
125,"Michael Howard promised to champion the ""forgotten majority"" as he revealed the initial segment of the Conservative election manifesto."
126,"Campaigning for the general election is picking up pace, with expectations pointing towards May as the likely month, though it could also take place before June 2006."
127,"Mr Howard is calling for a change in direction in Britain, stating that the government is too large and cannot continue with increasing taxes."
128,"Labour's election slogan is: ""Britain's working, don't let the Tories wreck it again""."
129,The government refutes claims that Gordon Brown is getting ready to remove Alan Milburn as Labour's election chief.
130,Many Labour backbenchers are reportedly unhappy with the way election campaigning has unfolded and have expressed a desire for the chancellor to assume a more prominent role.
131,Speaker Michael Martin has ruled that MPs will be ejected from the Commons if they use Blackberries in the chamber.
132,"For a while now, the use of electronic devices in the Commons chamber has been disapproved of."
133,Accusations have been made against Labour for using anti-Semitic images in posters that some critics say portray Tory leader Michael Howard as Fagin.
134,The comparison between the hypnotism poster and the portrayal of the Dickens character Fagin in the stage version of the musical Oliver has sparked controversy.
135,"Among a series of ideas presented to Labour members for selection before the election, the poster is one of them."
136,MPs have stated that divorced parents trying to gain access to their children are frequently at a disadvantage due to the legal system.
137,"At present, it is assumed that the child's interests are the most important."
138,"Despite the courts' efforts to avoid conscious bias, there is significant evidence suggesting that non-resident parents are often disadvantaged by the current system."
139,"Mahmoud Abbas, the Palestinian leader, stated that he will not tolerate attacks like the recent suicide bombing in Tel Aviv, Israel."
140,"In an email interview with the British newspaper the Independent, Mr Abbas expressed his belief that peace is achievable now and that they are prepared to engage in negotiations with Israel to achieve a genuine and enduring peace based on justice and international legitimacy."
141,Tony Blair has reassured Labour backbenchers that nothing will hinder the party's pursuit of a third term in power.
142,Labour MPs gearing up to defend their seats in an upcoming election are increasingly concerned about the potential impact of damaging speculation.
143,Mr Blair's spokesman stated on Monday that the prime minister is committed to continuing the government's work as he understands it is what the people desire.
144,"In June 2004, he changed his mind after Cabinet allies intervened and he suspected the chancellor was plotting against him."
145,"""Royal Mail is currently investigating the disappearance of hundreds of ballot papers for the regional assembly referendum in the North East, causing voting packs to not reach about 300 homes in County Durham."""
146,"According to a Royal Mail representative, an issue with the delivery route in the Mowden area of Darlington is currently under investigation."
147,"Ministers are instructing councils to identify additional locations for travellers, amidst ongoing disputes over a series of unauthorized encampments."
148,Ms Cooper stated that there are currently two main issues in the planning system regarding Gypsy and traveller sites.
149,"Tony Blair criticized the Conservative spending plans, calling them a ""ludicrous improbability""."
150,"He stated that the Tory plans represent a clear invitation to return to the past, as evident as can be imagined."
151,Gordon Brown spoke at the conference in private.
152,"Michael Howard, the Tory leader, has refuted claims that his immigration policy was overlapping with that of the British National Party (BNP)."
153,"The Conservatives have pledged to set a maximum number of people allowed to enter Britain with the message: ""Imposing limits on immigration is not racist."""
154,"Pensioners are being assured energy savings by the Liberal Democrats, as snow and cold temperatures persist."
155,A report suggests that reducing the drink-drive limit by a third could save more lives than previously estimated.
156,"An earlier calculation, found in a 1998 Department of Transport Document, indicated that such a change could potentially save 50 lives annually."
157,Parliamentarians must carefully consider this matter.
158,"Howard Flight, the MP who was dismissed, will not be the candidate for his local Conservative association in the upcoming general election, as confirmed by Russell Tanguay, the agent for Arundel and South Downs Tories."
159,The Tory headquarters has stated that he is unable to run as a Conservative candidate because he is no longer an approved candidate.
160,"During a press conference, Mr. Howard maintained that he had followed the party's regulations."
161,"Mr Howard has also suspended Slough's constituency Conservative association for its refusal to deselect its candidate, Mr Adrian Hilton, who was abandoned after suggesting that signing the Maastricht Treaty was an act of treason under John Major's government."
162,Michael Howard criticized the expensive and disorganized asylum system in Britain during Tony Blair's leadership.
163,"Mr Howard stated that Britain should accept its equitable portion of the world's ""authentic refugees""."
164,Some charities expressed concerns that refugees' lives could be endangered if they were denied entry once quotas were met.
165,"According to Lib Dem leader Charles Kennedy, Tony Blair needs to outline a suitable plan for leaving Iraq following the upcoming elections in the country."
166,He said that some believe the insurgency in Iraq is fueled by the mere presence of British and American troops.
167,Peace protestors have been unsuccessful in a significant appeal regarding police actions during the prevention of an anti-war demonstration shortly after the beginning of the Iraq war.
168,The police were pressuring Lord Chief Justice and Lord Justices Clarke and Rix to reverse the ruling that they had violated the protestors' human rights by detaining them in the coaches.
169,A former Home Office minister has proposed the establishment of an independent body to oversee UK immigration.
170,"He stated that within the next 20 years, one out of every three households will be a result of immigration."
171,"Jack Cunningham, a seasoned Labour MP and former Cabinet minister, has announced his intention to step down in the upcoming election."
172,"While Labour was in opposition for an extended period, Mr. Cunningham served in various shadow roles, such as foreign affairs, the environment, and as trade spokesman."
173,Tony Blair emphasized the significant impact of the deal between Turkey and the EU on global peace and security.
174,Mr Howard stated that Turkey's connection with the EU would serve as a valuable link between Europe and the rest of the world.
175,Discussions aimed at preventing nationwide strikes over pension reforms concluded without reaching an agreement after 90 minutes.
176,"A spokesperson from Unison, the largest union in Britain, stated following the meeting on Saturday: ""We are still in communication, at least."""
177,"Last week, Mr. Prescott met with senior union figures, including Unison's 800,000 workers, the Transport and General Workers' Union's 70,000, and Amicus' 20,000, who are being balloted about a 23 March walkout."
178,Charles Clarke has stated that he is not willing to make further concessions on his contentious anti-terror proposals in order to have them approved.
179,"The Bill, which includes ""control orders"" such as house arrest, could also enforce curfews, tagging, or bans on telephone and internet use."
180,Mr Clarke informed BBC Radio 4's Today programme that he believed the changes he had implemented in the Bill to address critics in the Commons should be adequate to appease colleagues in the Lords.
181,"Mark Oaten, representing the Liberal Democrats, stated that the government had ""lost the confidence of all sides of the House"" in Monday night's vote."
182,"According to the Tories, Tony Blair, who misled the UK into war, is also willing to lie during the election campaign."
183,The prime minister intensified Labour's pre-election campaigning over the weekend by embarking on a helicopter tour of the country and delivering a speech at the party's spring conference.
184,"Mr Blair stated that whether the public selected Michael Howard or Mr Kennedy, it would lead to ""a Tory government not a Labour government and a country that regresses instead of progressing""."
185,The Tories have warned that the events leading to David Blunkett's resignation should not be ignored.
186,"He mentioned that Mr. Blunkett still had a lot to offer the country, but he did not make any ""guarantees or definitive statements"" about future jobs."
187,"Sir John Gieve, who was the top civil servant involved in the David Blunkett visa scandal, has been knighted in the New Year Honours."
188,"Both men testified before a Commons committee about the computer issues affecting the agency, resulting in thousands of single parents not receiving maintenance payments, when the announcement was made."
189,"Downing Street stood by the decision to honor both men, stating: ""Their entire careers must be taken into consideration."""
190,Teenagers who participated in a survey displayed minimal interest in politics and lacked knowledge on the subject.
191,"Welsh councils have been advised by the assembly government to set their taxes at ""reasonable levels"" following an average funding increase of 6%."
192,The grant increase to assist councils serving the most deprived communities and the 16.4% rise in capital expenditure support are part of the settlement.
193,"Under a new policing initiative introduced by David Blunkett, individuals may receive the mobile phone number of their local police officer."
194,Mr Blunkett announced the creation of a new three-digit number for non-emergency police calls.
195,Mr Davis stated that the police forces were already overwhelmed by existing government initiatives and there was little in the latest plans to reassure them.
196,Mr Blunkett is already proud of achieving record police numbers.
197,Ministers are considering plans to electronically tag parents who refuse to allow former partners contact with their children.
198,Lord Falconer expressed to BBC Radio 4's Today programme his optimism that voluntary mediation could resolve disputes prior to reaching court.
199,"Increasing the use of in-court conciliation - holding more informal hearings prior to contested court cases - Enhancing availability of legal, emotional, and practical guidance through telephone and internet services."
200,Changes in legal aid have been made to encourage early resolution of disputes.
201,Offenders could be electronically tagged if they fail to comply with these measures.
202,Couples should create a plan and have it as a basis for a court order to ensure clarity and establish minimum access.
203,Gordon Brown has appealed for unity following reports alleging that Mr. Blair reneged on a promise to step down before the next general election.
204,"During an interview on BBC One's Breakfast with Frost, Mr Blair emphasized that he had addressed this issue six months ago, stating that deals should not be made over jobs like this."
205,"Mr Peston stated that the two individuals harbored ""mutual animosity and contempt"" towards each other, with Mr Blair deciding to resign in November 2003 due to a loss of trust from voters following the Iraq war."
206,Health Secretary John Reid stated that those responsible for spreading such rumors were harming Labour's chances of re-election and would not be easily forgiven.
207,"Ministers have revealed plans that would allow teenagers to become MPs, with the current minimum age of 21 being reduced to 18."
208,"Mr. Leslie's announcement, following his election in 1997 in a previously safe Tory seat, has led to calls for a reduction in the voting age to 16."
209,"Chancellor Gordon Brown stated that Britain's economic future will be the central focus of Labour's election campaign, following the final Cabinet meeting at No 10 before the anticipated election announcement."
210,"He urged them in a public letter to avoid transforming the election into a contest centered on scaring voters about terrorism, asylum, and crime, emphasizing the importance of focusing on other critical issues."
211,"During his address at the Foreign Policy Centre, Mr. Straw commented on the Tory leader, stating that he is clever, fluent, and tactical, but lacks wisdom."
212,UK Foreign Secretary Jack Straw has announced the closure of nine overseas embassies and high commissions as part of a cost-saving measure.
213,"In some of the areas affected by the embassy closures, honorary consuls will be appointed."
214,"The Foreign Office currently employs approximately 6,100 staff based in the UK."
215,"The Tories claim that a new White Paper on the EU, funded by taxpayers, is being used to deceive the British public into feeling secure."
216,Mr. Straw utilized the Commons debate on Thursday to introduce the new White Paper regarding the EU's prospects in 2005.
217,Mr Ancram accused ministers of unnecessarily prolonging uncertainty by delaying the vote until the latest possible date.
218,Tory leader Michael Howard believes that Prince Harry should personally express his regret for wearing a Nazi uniform to a friend's fancy dress party.
219,"Lib Dem leader Charles Kennedy stated that Harry, being in a privileged position, should apologize in person."
220,"MPs have criticized a failed government initiative to provide UK university courses online as a ""disgraceful waste""."
221,"A spokesperson from the Department for Education and Skills stated that the project was ""ambitious and ground-breaking, but the uptake was insufficient to justify continuing with it."""
222,"Neil Kinnock, the former Labour leader, has been officially appointed as a life peer in a ceremony held at the House of Lords."
223,"Following a brief stint as a tutor for the Workers' Educational Association, he was elected as an MP at the age of just 28 for his hometown of Bedwellty (later Islwyn)."
224,"Boris Johnson has insisted that Ken Livingstone should not apologize for his ""Nazi"" comment to a Jewish reporter and should ""stand firm"" in his position."
225,"Mr Livingstone from the Labour party stated that his comments, while potentially offensive, were not racist, and he also mentioned that he would not apologize even if requested by Mr Blair."
226,"He said Ken believes he has no reason to apologize, and if that's truly how he feels, then he should stand by his decision."
227,Chancellor Gordon Brown declared a freeze on fuel duty during his pre-budget speech to the Commons on Thursday.
228,"The RAC expressed their delight at the news, describing it as an ""early Christmas present"" for motorists."
229,First Minister Jack McConnell has requested a report on the decision to permit a paranoid schizophrenic knife attacker to go on an unguarded visit.
230,"The leader of the Scottish National Party in parliament argued that according to the law, authorization for Ferguson's leave of absence would have been directly from ministers."
231,"The recommendation for leave was approved by a psychiatric advisor ""in conjunction with officials on behalf of ministers,"" according to the executive spokeswoman."
232,Ministers plan to request international observers to ensure the upcoming UK general election is conducted fairly.
233,"Christopher Leslie, the junior constitutional affairs minister, stated that he anticipates the government will continue its previous practice once the date for the next general election is announced."
234,Statistics from the 2001 general election indicate that 29% of individuals aged 18-24 and 19% of black voters were not registered on the electoral roll.
235,"The Liberal Democrats state that in order to regain public trust in the management of the economy, Gordon Brown must allow unbiased scrutiny of his financial records."
236,"Mr Brown, in his report, emphasized his commitment to borrowing only for investment purposes, rather than for day-to-day expenses, throughout the economic cycle."
237,Mr Cable stated that 40% of all pensioners were currently facing marginal tax rates of 50%.
238,"Robert Kilroy-Silk's new political party, set to launch on Wednesday, has gained one of its two London Assembly members from the UK Independence Party."
239,"According to the BBC News Website, plans for the upcoming week's events were finalized during a meeting at Mr Kilroy-Silk's Buckinghamshire residence on Sunday."
240,"According to the document, it was stated that they are seeking the revival of the British Empire."
241,"This weekend, discussions will be held to prevent a series of national strikes over pensions reforms."
242,The five unions meeting with Mr. Prescott are urging the government to retract these regulations.
243,"According to Michael Howard, Tony Blair had the opportunity to address the issues confronting Britain but has been unsuccessful."
244,The scenes of destruction were watched by us with a sense of disbelief.
245,"Big government and higher taxes are resulting in eroding incentives, undermining enterprise, and denying people choice."
246,Cardinal Cormac Murphy-O'Connor has stated that the billions of pounds allocated to conflict in Iraq and the Middle East should have been utilized to alleviate poverty.
247,"During his slot on BBC Radio 4's Thought for the Day, he expressed his disapproval of the billions spent on war instead of alleviating dire poverty, malnourishment, and disease."
248,The Cardinal will request the congregation to seek peace on Friday.
249,A former Russian intelligence officer who took great risks spying for MI6 is now in the seventh week of a hunger strike near 10 Downing Street.
250,"Oleg Gordievsky, a former senior KGB officer turned secret agent for the British, expressed satisfaction with the government's treatment of him since his 1985 defection."
251,He approached MI6 through his English teacher and then started sharing secrets with the British intelligence service.
252,Tony Blair has announced that the Commission for Africa's report will be released on 11 March - Comic Relief day.
253,"During his tenure as the head of the G8, Mr. Blair has pledged to prioritize Africa."
254,"Upon returning from his diplomatic mission to the Middle East, Prime Minister Tony Blair is working to revive the peace process."
255,Paul Reynolds of the BBC believes that the London conference is a limited measure to support Mahmoud Abbas' leadership ahead of the Palestinian presidential election on 9 January.
256,"Save the Scottish Regiments will focus on nine marginal Labour seats during the General Election, with plans to field a candidate against Armed Forces Minister Adam Ingram in East Kilbride."
257,"Allan Hendry, a former Scots Guardsman, will challenge Mr Ingram."
258,Labour's downfall has been caused by their arrogance.
259,"Alastair Campbell, the former media chief of No 10, is embroiled in a fresh political controversy involving an email with a four-letter outburst directed at BBC journalists."
260,"The day following Peter Mandelson's warning to the BBC about ""demonising"" Mr. Campbell, an email was uncovered."
261,"He mentioned, ""I'm not very skilled at using this email Blackberry thing."""
262,"Hayley Yelling, the European cross-country champion, achieved a hat-trick of victories in the Reebok Cardiff Cross Challenge at Bute Park on Sunday afternoon."
263,"In a thrilling final in Dubai, England emerged victorious over Fiji with a score of 26-21 to claim the first IRB Sevens event of the season."
264,"Despite not wanting to pressure ourselves, we are grateful for achieving our goal and developing young talent who may represent England '15s' in the future. Portugal showcased their remarkable advancement in Sevens rugby with a sudden-death victory against France in the bowl final. Samoa secured the plate title by narrowly defeating Argentina 21-19."
265,"In the second singles match rubber of the 2004 Davis Cup final in Seville, Spain's Rafael Nadal defeated Andy Roddick of the USA with a score of 6-7 (6/8) 6-2 7-6 (8/6) 6-2."
266,"Nadal maintains his composure, causing the crowd to erupt with excitement as Spain takes a 2-0 lead in the tie."
267,"Nadal maneuvers Roddick around the court for two straight points, resulting in two break points."
268,"Nadal increases the pressure to secure a break, giving Spain the early advantage in the fourth set."
269,Roddick quickly recovers from losing the third-set tiebreak and smoothly wins his first service game of the fourth set.
270,Nadal attempts to increase his aggression and successfully passes Roddick down the line to go 15-40 and gain two set points.
271,"Despite some brilliant shot-making from his opponent, Roddick once again manages to hold on."
272,"Roddick manages to hold his serve to even the score, but Nadal is forcing him to work hard for each point."
273,Roddick is not serving as powerfully as he typically does and must depend on his sheer competitive drive to remain in the set.
274,"Roddick is visibly disturbed by something in the crowd, causing a disruption in play."
275,"Roddick is now under pressure to defend a break point, but he responds with a trademark ace to save it."
276,"Roddick's performance has declined, and he is once again facing difficulties."
277,"Roddick took a 30-0 lead with two strong serves, but then made a couple of errors to fall behind 30-40."
278,"Roddick commits two double faults, allowing Nadal to capitalize on the break point and hit a passing winner past him."
279,"Nadal applies pressure on the American, and Roddick saves a break point with an excellent stop volley before holding."
280,"Roddick makes a double-fault to give up the first mini-break, followed by Nadal hitting a crosscourt winner to take the advantage in the tiebreak."
281,"In an intense game, Nadal is seen darting around the court, retrieving shots and not giving Roddick any easy points."
282,"The audience is becoming highly engaged, cheering during the interval between Roddick's first and second serves."
283,"Despite double faulting, Roddick maintains his composure."
284,Nadal breaks once more to lift the roof in another outstanding game.
285,Roddick's brief lead is quickly erased by Nadal as he breaks back right away.
286,"Following Moya's victory in the first match, the lively Seville audience is energized by Nadal's strong beginning as he quickly takes a 30-0 lead."
